Timestamp,Average_OAT,Humidity,UV_Index,Average_Rainfall
2021-10-01 00:00:00,29,84,0.1,0
2021-10-01 00:15:00,29,84,0.1,0
2021-10-01 00:30:00,29,84,0.1,0
2021-10-01 00:45:00,29,84,0.1,0
2021-10-01 01:00:00,29,86,0.1,0
2021-10-01 01:15:00,29,86,0.1,0
2021-10-01 01:30:00,29,86,0.1,0
2021-10-01 01:45:00,29,86,0.1,0
2021-10-01 02:00:00,29,88,0.1,0
2021-10-01 02:15:00,29,88,0.1,0
2021-10-01 02:30:00,29,88,0.1,0
2021-10-01 02:45:00,29,88,0.1,0
2021-10-01 03:00:00,29,87,0.1,0
2021-10-01 03:15:00,29,87,0.1,0
2021-10-01 03:30:00,29,87,0.1,0
2021-10-01 03:45:00,29,87,0.1,0
2021-10-01 04:00:00,29,88,0.1,0
2021-10-01 04:15:00,29,88,0.1,0
2021-10-01 04:30:00,29,88,0.1,0
2021-10-01 04:45:00,29,88,0.1,0
2021-10-01 05:00:00,28,89,0.1,0
2021-10-01 05:15:00,28,89,0.1,0
2021-10-01 05:30:00,28,89,0.1,0
2021-10-01 05:45:00,28,89,0.1,0
2021-10-01 06:00:00,28,89,0.1,0
2021-10-01 06:15:00,28,89,0.1,0
2021-10-01 06:30:00,28,89,0.1,0
2021-10-01 06:45:00,28,89,0.1,0
2021-10-01 07:00:00,29,86,0.1,0
2021-10-01 07:15:00,29,86,0.1,0
2021-10-01 07:30:00,29,86,0.1,0
2021-10-01 07:45:00,29,86,0.1,0
2021-10-01 08:00:00,29,83,0.1,0
2021-10-01 08:15:00,29,83,0.4,0
2021-10-01 08:30:00,29,83,0.4,0
2021-10-01 08:45:00,29,83,0.4,0
2021-10-01 09:00:00,29,78,0.4,0
2021-10-01 09:15:00,29,78,0.9,0
2021-10-01 09:30:00,29,78,0.9,0
2021-10-01 09:45:00,29,78,0.9,0
2021-10-01 10:00:00,30,74,0.9,0
2021-10-01 10:15:00,30,74,2,0
2021-10-01 10:30:00,30,74,2,0
2021-10-01 10:45:00,30,74,2,0
2021-10-01 11:00:00,31,73,2,0
2021-10-01 11:15:00,31,73,3,0
2021-10-01 11:30:00,31,73,3,0
2021-10-01 11:45:00,31,73,3,0
2021-10-01 12:00:00,32,71,3,0
2021-10-01 12:15:00,32,71,5,0
2021-10-01 12:30:00,32,71,5,0
2021-10-01 12:45:00,32,71,5,0
2021-10-01 13:00:00,32,71,5,0
2021-10-01 13:15:00,32,71,5,0
2021-10-01 13:30:00,32,71,5,0
2021-10-01 13:45:00,32,71,5,0.5
2021-10-01 14:00:00,31,68,5,0.5
2021-10-01 14:15:00,31,68,4,0.5
2021-10-01 14:30:00,31,68,4,0.5
2021-10-01 14:45:00,31,68,4,0
2021-10-01 15:00:00,32,68,4,0
2021-10-01 15:15:00,32,68,3,0
2021-10-01 15:30:00,32,68,3,0
2021-10-01 15:45:00,32,68,3,0
2021-10-01 16:00:00,31,72,3,0
2021-10-01 16:15:00,31,72,2,0
2021-10-01 16:30:00,31,72,2,0
2021-10-01 16:45:00,31,72,2,0
2021-10-01 17:00:00,30,76,2,0
2021-10-01 17:15:00,30,76,0.8,0
2021-10-01 17:30:00,30,76,0.8,0
2021-10-01 17:45:00,30,76,0.8,0.5
2021-10-01 18:00:00,29,73,0.8,0.5
2021-10-01 18:15:00,29,73,0.1,0.5
2021-10-01 18:30:00,29,73,0.1,0.5
2021-10-01 18:45:00,29,73,0.1,0
2021-10-01 19:00:00,29,77,0.1,0
2021-10-01 19:15:00,29,77,0.1,0
2021-10-01 19:30:00,29,77,0.1,0
2021-10-01 19:45:00,29,77,0.1,0
2021-10-01 20:00:00,28,78,0.1,0
2021-10-01 20:15:00,28,78,0.1,0
2021-10-01 20:30:00,28,78,0.1,0
2021-10-01 20:45:00,28,78,0.1,0
2021-10-01 21:00:00,29,77,0.1,0
2021-10-01 21:15:00,29,77,0.1,0
2021-10-01 21:30:00,29,77,0.1,0
2021-10-01 21:45:00,29,77,0.1,0
2021-10-01 22:00:00,29,79,0.1,0
2021-10-01 22:15:00,29,79,0.1,0
2021-10-01 22:30:00,29,79,0.1,0
2021-10-01 22:45:00,29,79,0.1,0
2021-10-01 23:00:00,29,79,0.1,0
2021-10-01 23:15:00,29,79,0.1,0
2021-10-01 23:30:00,29,79,0.1,0
2021-10-01 23:45:00,29,79,0.1,0
2021-10-02 00:00:00,28,78,0.1,0
2021-10-02 00:15:00,28,78,0.1,0
2021-10-02 00:30:00,28,78,0.1,0
2021-10-02 00:45:00,28,78,0.1,0
2021-10-02 01:00:00,28,81,0.1,0
2021-10-02 01:15:00,28,81,0.1,0
2021-10-02 01:30:00,28,81,0.1,0
2021-10-02 01:45:00,28,81,0.1,0
2021-10-02 02:00:00,28,81,0.1,0
2021-10-02 02:15:00,28,81,0.1,0
2021-10-02 02:30:00,28,81,0.1,0
2021-10-02 02:45:00,28,81,0.1,0
2021-10-02 03:00:00,28,81,0.1,0
2021-10-02 03:15:00,28,81,0.1,0
2021-10-02 03:30:00,28,81,0.1,0
2021-10-02 03:45:00,28,81,0.1,0
2021-10-02 04:00:00,28,79,0.1,0
2021-10-02 04:15:00,28,79,0.1,0
2021-10-02 04:30:00,28,79,0.1,0
2021-10-02 04:45:00,28,79,0.1,0
2021-10-02 05:00:00,28,83,0.1,0
2021-10-02 05:15:00,28,83,0.1,0
2021-10-02 05:30:00,28,83,0.1,0
2021-10-02 05:45:00,28,83,0.1,0
2021-10-02 06:00:00,28,80,0.1,0
2021-10-02 06:15:00,28,80,0.1,0
2021-10-02 06:30:00,28,80,0.1,0
2021-10-02 06:45:00,28,80,0.1,0
2021-10-02 07:00:00,28,81,0.1,0
2021-10-02 07:15:00,28,81,0.1,0
2021-10-02 07:30:00,28,81,0.1,0
