01.csvCHWR.TEMP.1,01.csvCHWS.TEMP.1
15.2627,18.8609
14.7827,18.9209
14.9627,18.9209
15.0027,18.9209
14.7627,18.9209
15.1627,18.8409
14.9627,18.9409
14.9627,18.8809
14.8627,18.9209
14.9827,18.9209
14.7427,18.9409
15.1427,18.9409
14.6827,18.9209
15.0027,18.9209
14.9427,18.9209
15.0627,18.9609
14.8827,18.9409
14.9627,18.9409
14.8627,18.9209
15.1827,18.9009
15.0227,18.9409
14.9827,18.9809
14.9627,18.9209
14.6227,18.8809
14.9627,18.9209
14.8227,18.9209
15.1227,18.9209
14.8227,18.9609
14.8227,18.9609
14.9827,18.9409
14.9027,18.9209
14.8627,18.9209
14.7827,18.9209
14.8627,18.9609
14.6227,18.9209
14.9027,18.8809
14.7227,18.9209
14.6827,18.9409
14.5827,18.9609
14.8227,18.9209
14.5827,18.9609
14.6627,18.9209
14.5427,18.9209
14.9227,18.9609
14.7427,18.9609
14.8227,18.9009
14.5427,18.9209
14.6427,18.9809
14.6827,18.9609
14.8627,18.9609
14.4427,18.9609
14.8627,18.9209
14.4227,18.9209
14.5227,18.9009
14.5227,18.9209
14.5427,18.9609
14.6427,18.9609
14.5027,18.9409
14.4427,18.9209
14.6227,18.9409
14.5227,18.9609
14.6427,18.9409
14.7427,18.9209
14.7227,18.9809
14.5227,18.9209
14.6227,18.9209
14.6427,18.9409
14.6427,18.9609
14.7627,18.9209
14.5027,18.9409
14.5427,18.9609
14.5827,18.9409
14.4427,18.9609
14.5427,18.9209
14.7627,18.9609
14.4427,18.9409
14.7827,18.9209
14.4427,18.9409
14.3627,18.9409
14.4027,18.9809
14.6627,18.9609
14.5427,18.9609
14.9227,18.9609
14.3827,18.9609
14.7227,18.9209
14.4027,18.9409
14.6027,18.9409
14.5827,18.9609
14.5427,18.9609
14.4027,18.9609
14.4227,18.9809
14.5827,18.9209
14.4027,18.9609
14.6627,18.9809
14.3827,18.9609
14.3427,18.9809
14.5027,18.9209
14.3027,18.9609
14.2226,18.9209
14.4627,18.9209
14.4427,18.9209
14.4027,18.9609
14.5827,18.9409
14.2226,18.9209
14.5027,18.9009
14.4227,18.9209
14.4427,18.9209
14.1226,18.9409
14.3227,18.9209
14.8227,18.9609
14.7227,18.9609
14.0826,18.9409
14.7427,18.9609
14.2226,18.9209
14.2626,18.9609
14.1826,18.9209
14.4427,18.9209
14.4627,18.9609
14.3227,18.9209
